"Figure 1: UK GDP is estimated to have fallen by 0.3% in March 2023",""
"Monthly index, January 2007 to March 2023, UK",""
"",""
"Notes",""
"Unit","Index, 2019 = 100"
"",""
"Date","Monthly GDP"
"Jan 2007","84.0"
"Feb 2007","84.6"
"Mar 2007","84.9"
"Apr 2007","84.9"
"May 2007","85.0"
"Jun 2007","85.0"
"Jul 2007","85.1"
"Aug 2007","85.8"
"Sep 2007","85.8"
"Oct 2007","85.6"
"Nov 2007","86.2"
"Dec 2007","86.6"
"Jan 2008","86.8"
"Feb 2008","86.9"
"Mar 2008","86.4"
"Apr 2008","87.0"
"May 2008","86.3"
"Jun 2008","86.1"
"Jul 2008","85.4"
"Aug 2008","85.3"
"Sep 2008","84.4"
"Oct 2008","83.7"
"Nov 2008","82.9"
"Dec 2008","82.7"
"Jan 2009","82.0"
"Feb 2009","81.7"
"Mar 2009","80.9"
"Apr 2009","81.8"
"May 2009","80.8"
"Jun 2009","81.0"
"Jul 2009","81.6"
"Aug 2009","81.2"
"Sep 2009","81.6"
"Oct 2009","81.6"
"Nov 2009","81.7"
"Dec 2009","82.0"
"Jan 2010","81.4"
"Feb 2010","82.8"
"Mar 2010","83.4"
"Apr 2010","83.3"
"May 2010","83.6"
"Jun 2010","83.8"
"Jul 2010","83.9"
"Aug 2010","84.1"
"Sep 2010","84.3"
"Oct 2010","84.6"
"Nov 2010","84.4"
"Dec 2010","83.6"
"Jan 2011","83.9"
"Feb 2011","84.3"
"Mar 2011","84.5"
"Apr 2011","83.8"
"May 2011","84.7"
"Jun 2011","84.7"
"Jul 2011","84.8"
"Aug 2011","84.5"
"Sep 2011","84.8"
"Oct 2011","84.0"
"Nov 2011","85.0"
"Dec 2011","85.6"
"Jan 2012","85.9"
"Feb 2012","85.2"
"Mar 2012","85.7"
"Apr 2012","85.1"
"May 2012","86.3"
"Jun 2012","85.2"
"Jul 2012","86.6"
"Aug 2012","87.0"
"Sep 2012","85.9"
"Oct 2012","86.2"
"Nov 2012","86.4"
"Dec 2012","86.3"
"Jan 2013","86.2"
"Feb 2013","86.9"
"Mar 2013","86.9"
"Apr 2013","86.8"
"May 2013","87.2"
"Jun 2013","87.3"
"Jul 2013","87.7"
"Aug 2013","87.9"
"Sep 2013","87.9"
"Oct 2013","88.5"
"Nov 2013","88.4"
"Dec 2013","88.0"
"Jan 2014","88.3"
"Feb 2014","89.1"
"Mar 2014","89.8"
"Apr 2014","89.8"
"May 2014","90.1"
"Jun 2014","90.2"
"Jul 2014","90.7"
"Aug 2014","90.6"
"Sep 2014","91.0"
"Oct 2014","91.2"
"Nov 2014","91.2"
"Dec 2014","91.6"
"Jan 2015","91.3"
"Feb 2015","91.6"
"Mar 2015","91.8"
"Apr 2015","92.3"
"May 2015","92.1"
"Jun 2015","92.0"
"Jul 2015","92.3"
"Aug 2015","92.3"
"Sep 2015","92.6"
"Oct 2015","93.0"
"Nov 2015","93.0"
"Dec 2015","93.1"
"Jan 2016","93.1"
"Feb 2016","93.4"
"Mar 2016","93.7"
"Apr 2016","94.2"
"May 2016","94.0"
"Jun 2016","94.2"
"Jul 2016","94.6"
"Aug 2016","94.6"
"Sep 2016","94.9"
"Oct 2016","95.1"
"Nov 2016","95.3"
"Dec 2016","95.4"
"Jan 2017","95.8"
"Feb 2017","95.9"
"Mar 2017","96.0"
"Apr 2017","96.2"
"May 2017","96.5"
"Jun 2017","96.6"
"Jul 2017","96.7"
"Aug 2017","97.0"
"Sep 2017","97.5"
"Oct 2017","97.5"
"Nov 2017","97.8"
"Dec 2017","97.4"
"Jan 2018","97.4"
"Feb 2018","97.4"
"Mar 2018","97.9"
"Apr 2018","97.7"
"May 2018","98.1"
"Jun 2018","98.3"
"Jul 2018","98.5"
"Aug 2018","98.7"
"Sep 2018","98.8"
"Oct 2018","98.7"
"Nov 2018","99.1"
"Dec 2018","99.0"
"Jan 2019","99.3"
"Feb 2019","99.7"
"Mar 2019","99.7"
"Apr 2019","99.3"
"May 2019","99.6"
"Jun 2019","99.9"
"Jul 2019","100.3"
"Aug 2019","100.3"
"Sep 2019","100.7"
"Oct 2019","100.5"
"Nov 2019","100.3"
"Dec 2019","100.4"
"Jan 2020","100.7"
"Feb 2020","100.2"
"Mar 2020","93.1"
"Apr 2020","73.7"
"May 2020","76.0"
"Jun 2020","82.8"
"Jul 2020","88.9"
"Aug 2020","90.8"
"Sep 2020","91.8"
"Oct 2020","92.3"
"Nov 2020","90.7"
"Dec 2020","92.3"
"Jan 2021","89.6"
"Feb 2021","90.2"
"Mar 2021","92.2"
"Apr 2021","95.1"
"May 2021","96.3"
"Jun 2021","97.3"
"Jul 2021","97.2"
"Aug 2021","98.0"
"Sep 2021","98.6"
"Oct 2021","98.7"
"Nov 2021","99.7"
"Dec 2021","99.8"
"Jan 2022","100.0"
"Feb 2022","99.9"
"Mar 2022","100.0"
"Apr 2022","100.0"
"May 2022","100.8"
"Jun 2022","100.0"
"Jul 2022","100.4"
"Aug 2022","100.4"
"Sep 2022","99.7"
"Oct 2022","100.4"
"Nov 2022","100.5"
"Dec 2022","100.0"
"Jan 2023","100.5"
"Feb 2023","100.5"
"Mar 2023","100.3"
