LSOA,Officers
E01000115,0.0
E01000116,3.0
E01000117,0.0
E01000118,3.0
E01000119,0.0
E01000120,0.0
E01000121,0.0
E01000122,0.0
E01000123,0.0
E01000124,3.0
E01000125,3.0
E01000126,0.0
E01000127,0.0
E01000128,3.0
E01000129,3.0
E01000130,0.0
E01000131,1.0
E01000132,0.0
E01000133,0.0
E01000134,0.0
E01000135,0.0
E01000136,1.0
E01000137,0.0
E01000138,3.0
E01000139,3.0
E01000140,0.0
E01000141,3.0
E01000142,0.0
E01000143,0.0
E01000144,3.0
E01000145,0.0
E01000146,3.0
E01000147,0.0
E01000148,0.0
E01000150,2.0
E01000151,0.0
E01000152,0.0
E01000153,1.0
E01000154,0.0
E01000155,3.0
E01000156,0.0
E01000157,0.0
E01000158,0.0
E01000159,3.0
E01000160,0.0
E01000161,3.0
E01000162,0.0
E01000163,0.0
E01000164,3.0
E01000165,0.0
E01000166,0.0
E01000167,0.0
E01000168,0.0
E01000169,0.0
E01000170,3.0
E01000171,3.0
E01000172,0.0
E01000173,0.0
E01000174,0.0
E01000175,3.0
E01000176,3.0
E01000177,3.0
E01000178,0.0
E01000179,0.0
E01000180,2.0
E01000181,0.0
E01000182,0.0
E01000183,0.0
E01000184,0.0
E01000185,0.0
E01000186,0.0
E01000187,0.0
E01000188,3.0
E01000189,0.0
E01000190,0.0
E01000191,0.0
E01000192,3.0
E01000193,1.0
E01000194,3.0
E01000195,0.0
E01000196,1.0
E01000197,0.0
E01000198,3.0
E01000199,0.0
E01000200,0.0
E01000201,3.0
E01000202,0.0
E01000203,0.0
E01000204,0.0
E01000205,3.0
E01000206,0.0
E01000207,0.0
E01000208,3.0
E01000209,0.0
E01000210,0.0
E01000211,3.0
E01000212,0.0
E01000213,0.0
E01000214,0.0
E01000215,0.0
E01000216,3.0
E01000217,0.0
E01000218,0.0
E01000219,2.0
E01000220,0.0
E01000221,0.0
E01000222,2.0
E01000223,0.0
E01000224,0.0
E01000225,0.0
E01000226,0.0
E01000227,0.0
E01000228,3.0
E01000229,0.0
E01000230,0.0
E01000231,0.0
E01000232,0.0
E01000233,3.0
E01000234,0.0
E01000235,0.0
E01000236,0.0
E01000237,3.0
E01000238,3.0
E01000239,0.0
E01000240,0.0
E01000241,0.0
E01000242,0.0
E01000243,0.0
E01000244,1.0
E01000245,3.0
E01000246,0.0
E01000247,0.0
E01000248,3.0
E01000249,0.0
E01000250,3.0
E01000251,3.0
E01000252,0.0
E01000253,3.0
E01000254,0.0
E01000255,0.0
E01000256,0.0
E01000257,3.0
E01000258,3.0
E01000259,0.0
E01000260,2.0
E01000261,0.0
E01000262,3.0
E01000263,0.0
E01000264,3.0
E01000265,0.0
E01000266,0.0
E01000267,2.0
E01000268,3.0
E01000269,0.0
E01000270,0.0
E01000271,0.0
E01000272,0.0
E01000273,0.0
E01000274,3.0
E01000275,1.0
E01000276,0.0
E01000277,0.0
E01000278,0.0
E01000279,0.0
E01000280,0.0
E01000281,1.0
E01000282,3.0
E01000283,0.0
E01000284,0.0
E01000285,0.0
E01000286,0.0
E01000287,0.0
E01000288,0.0
E01000289,3.0
E01000290,0.0
E01000291,0.0
E01000292,2.0
E01000293,0.0
E01000294,0.0
E01000295,0.0
E01000296,3.0
E01000297,0.0
E01000298,0.0
E01000299,3.0
E01000300,0.0
E01000301,0.0
E01000302,0.0
E01000303,3.0
E01000304,0.0
E01000305,0.0
E01000306,0.0
E01000307,3.0
E01000308,3.0
E01000309,0.0
E01000310,3.0
E01000311,0.0
E01000312,0.0
E01000313,0.0
E01000314,0.0
E01000315,3.0
E01000316,3.0
E01000317,0.0
E01000318,0.0
E01000319,0.0
E01000320,0.0
E01000321,0.0
E01000322,0.0
E01000323,2.0
E01000324,0.0
E01033572,3.0
E01033573,0.0
