ds,Ward,y
2010-12-01,Barnet Vale Ward,18
2011-01-01,Barnet Vale Ward,22
2011-02-01,Barnet Vale Ward,22
2011-03-01,Barnet Vale Ward,16
2011-04-01,Barnet Vale Ward,20
2011-05-01,Barnet Vale Ward,28
2011-06-01,Barnet Vale Ward,27
2011-07-01,Barnet Vale Ward,19
2011-08-01,Barnet Vale Ward,18
2011-09-01,Barnet Vale Ward,20
2011-10-01,Barnet Vale Ward,17
2011-11-01,Barnet Vale Ward,22
2011-12-01,Barnet Vale Ward,24
2012-01-01,Barnet Vale Ward,19
2012-02-01,Barnet Vale Ward,20
2012-03-01,Barnet Vale Ward,26
2012-04-01,Barnet Vale Ward,14
2012-05-01,Barnet Vale Ward,17
2012-06-01,Barnet Vale Ward,24
2012-07-01,Barnet Vale Ward,17
2012-08-01,Barnet Vale Ward,22
2012-09-01,Barnet Vale Ward,15
2012-10-01,Barnet Vale Ward,18
2012-11-01,Barnet Vale Ward,28
2012-12-01,Barnet Vale Ward,35
2013-01-01,Barnet Vale Ward,34
2013-02-01,Barnet Vale Ward,26
2013-03-01,Barnet Vale Ward,25
2013-04-01,Barnet Vale Ward,17
2013-05-01,Barnet Vale Ward,21
2013-06-01,Barnet Vale Ward,15
2013-07-01,Barnet Vale Ward,15
2013-08-01,Barnet Vale Ward,17
2013-09-01,Barnet Vale Ward,20
2013-10-01,Barnet Vale Ward,26
2013-11-01,Barnet Vale Ward,28
2013-12-01,Barnet Vale Ward,31
2014-01-01,Barnet Vale Ward,21
2014-02-01,Barnet Vale Ward,15
2014-03-01,Barnet Vale Ward,16
2014-04-01,Barnet Vale Ward,19
2014-05-01,Barnet Vale Ward,18
2014-06-01,Barnet Vale Ward,18
2014-07-01,Barnet Vale Ward,16
2014-08-01,Barnet Vale Ward,19
2014-09-01,Barnet Vale Ward,24
2014-10-01,Barnet Vale Ward,18
2014-11-01,Barnet Vale Ward,23
2014-12-01,Barnet Vale Ward,20
2015-01-01,Barnet Vale Ward,14
2015-02-01,Barnet Vale Ward,16
2015-03-01,Barnet Vale Ward,16
2015-04-01,Barnet Vale Ward,14
2015-05-01,Barnet Vale Ward,20
2015-06-01,Barnet Vale Ward,13
2015-07-01,Barnet Vale Ward,14
2015-08-01,Barnet Vale Ward,18
2015-09-01,Barnet Vale Ward,22
2015-10-01,Barnet Vale Ward,27
2015-11-01,Barnet Vale Ward,20
2015-12-01,Barnet Vale Ward,33
2016-01-01,Barnet Vale Ward,22
2016-02-01,Barnet Vale Ward,18
2016-03-01,Barnet Vale Ward,22
2016-04-01,Barnet Vale Ward,17
2016-05-01,Barnet Vale Ward,13
2016-06-01,Barnet Vale Ward,16
2016-07-01,Barnet Vale Ward,16
2016-08-01,Barnet Vale Ward,23
2016-09-01,Barnet Vale Ward,14
2016-10-01,Barnet Vale Ward,15
2016-11-01,Barnet Vale Ward,13
2016-12-01,Barnet Vale Ward,20
2017-01-01,Barnet Vale Ward,14
2017-02-01,Barnet Vale Ward,18
2017-03-01,Barnet Vale Ward,14
2017-04-01,Barnet Vale Ward,15
2017-05-01,Barnet Vale Ward,19
2017-06-01,Barnet Vale Ward,17
2017-07-01,Barnet Vale Ward,15
2017-08-01,Barnet Vale Ward,15
2017-09-01,Barnet Vale Ward,17
